X;Y;Z;idstation;nom;adresse1;adresse2;commune;numdansarr;nbbornette;stationbon;pole;ouverte;achevement;gid;code_insee
4.87063871065029;45.7458332337287;0;3008;Institut Lumière;Cours Albert Thomas;;Lyon 3 ème;8;18;;"Métro, coeur quartier, institut Lumière, marché";Oui;;32;69383
4.89153016767185;45.7557642719575;0;10113;Gare de Villeurbanne;"52, Rue du Poizat";;VILLEURBANNE;113;22;;"Tramway, maillage";Oui;;33;69266
4.896957057546;45.7481832938432;0;3091;Hôpital Neurologique;"59, Boulevard Pinel";;Lyon 3 ème;91;20;;"Centre hospitalier, itinéraire cyclable";Oui;;34;69383
4.87010174634579;45.7435678516368;0;8053;Lumière / Trouilhet;"6, Rue Antoine Lumière";;Lyon 8 ème;53;16;;"Poste, commerces";Oui;;35;69388
4.86167388058994;45.7600550578148;0;3080;Part-Dieu / Villette;Rue de la Villette;;Lyon 3 ème;80;30;;Gare Part-Dieu;Oui;;36;69383
4.85048116264952;45.7615909258197;0;3083;Les Halles;"183, Rue André Philip";;Lyon 3 ème;83;18;;"Commerces, coeur de quartier";Oui;;37;69383
4.83043469490947;45.7581569109322;0;2002;Bellecour / Saint Exupéry;"Face 34, Place Bellecour";côté Rue Paul Lintier;Lyon 2 ème;2;40;;"métro A D, site, commerces";Oui;;38;69382
4.82682143058842;45.724348355123;0;7020;Parc de Gerland;"24, Allée Pierre de Coubertin";;Lyon 7 ème;20;26;;"Parc de Gerland, Palais des Sports";Non;;39;69387
4.81946086201;45.7722538415305;0;1023;Croix Rousse / Perfetti;"Face 23, Boulevard de la Croix Rousse";;Lyon 1 er;23;20;;"IUFM, gymnase Jean Genety";Oui;;40;69381
4.83459382198385;45.7579850990088;0;2001;Bellecour / République;"4, Place Le Viste";angle Rue de La République;Lyon 2 ème;1;18;;"métro A D, site, commerces";Oui;;41;69382
4.83293148796597;45.766767104563;0;1020;Terreaux / Chenavard;"11, Rue Chenavard";Côté place des Terreaux;Lyon 1 er;20;18;;Place des Terreaux;Oui;;42;69381
